Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
11;6200180159;"World Psychiatry";journal;"17238617";15,827;Q1;140;106;297;4359;4041;62;12,99;41,12;41,35;7;13;United States;Northern America;"Wiley-Blackwell";"2007-2023";"Psychiatry and Mental Health (Q1)";"Medicine"
12;20651;"Annual Review of Immunology";journal;"15453278, 07320582";15,620;Q1;328;23;84;4178;2696;83;27,02;181,65;40,68;0;7;United States;Northern America;"Annual Reviews Inc.";"1983-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
13;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";14,618;Q1;160;70;247;587;5353;230;21,11;8,39;58,79;61;38;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2023";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences"
14;18991;"Nature Reviews Genetics";journal;"14710056, 14710064";14,293;Q1;421;123;346;10202;6211;207;17,40;82,94;32,86;3;15;United Kingdom;Western Europe;"Nature Publishing Group";"2000-2023";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
15;28711;"Annals of Oncology";journal;"15698041, 09237534";13,942;Q1;294;144;670;5180;12698;362;18,81;35,97;39,02;9;117;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2023";"Hematology (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)";"Medicine"
16;20798;"Immunity";journal;"10974180, 10747613";13,578;Q1;455;233;688;15608;13409;550;16,89;66,99;40,35;1;95;United States;Northern America;"Cell Press";"1994-2023";"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)";"Immunology and Microbiology; Medicine"
17;110092;"Morbidity and Mortality Weekly Report";journal;"01492195, 1545861X";13,080;Q1;260;243;827;1865;14374;679;16,58;7,67;62,53;162;124;United States;Northern America;"Department of Health and Human Services";"1981-2023";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences"
18;21101089342;"Nature Reviews Methods Primers";journal;"26628449";12,294;Q1;46;62;154;8174;4174;86;27,10;131,84;31,14;0;10;United States;Northern America;"Springer Nature";"2021-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
19;12354;"Lancet Oncology, The";journal;"14702045, 14745488";12,179;Q1;408;393;1455;5354;17873;634;11,39;13,62;42,77;0;289;United Kingdom;Western Europe;"Elsevier Ltd";"2000-2023";"Oncology (Q1)";"Medicine"
20;16590;"Lancet, The";journal;"01406736, 1474547X";12,113;Q1;895;1398;4046;22192;65313;1370;14,35;15,87;51,49;0;490;United Kingdom;Western Europe;"Elsevier B.V.";"1823-2023";"Medicine (miscellaneous) (Q1)";"Medicine"
21;21101023100;"Nature Cancer";journal;"26621347";11,900;Q1;61;176;453;7513;5933;297;12,27;42,69;43,45;0;102;United States;Northern America;"Nature Research";"2020-2023";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
22;11300153736;"Annual Review of Pathology: Mechanisms of Disease";journal;"15534006, 15534014";11,748;Q1;147;22;63;3087;2361;63;28,74;140,32;33,33;0;15;United States;Northern America;"Annual Reviews Inc.";"2006-2023";"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Medicine"
23;21315;"Nature Immunology";journal;"15292908, 15292916";11,274;Q1;440;303;771;10345;10949;529;13,85;34,14;44,58;0;96;United Kingdom;Western Europe;"Nature Publishing Group";"2000-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
24;24004;"Physiological Reviews";journal;"15221210, 00319333";10,821;Q1;388;51;129;21543;4032;119;31,12;422,41;37,79;0;16;United States;Northern America;"American Physiological Society";"1945-2023";"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
25;29949;"Journal of Clinical Oncology";journal;"15277755, 0732183X";10,639;Q1;624;783;1664;20976;26011;1205;13,64;26,79;41,81;0;539;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1983-2023";"Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
26;71056;"MMWR Surveillance Summaries";journal;"15458636, 15460738";10,275;Q1;121;9;113;401;2441;102;21,97;44,56;75,00;4;9;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2023";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences"
27;21100237403;"Lancet Diabetes and Endocrinology,The";journal;"22138595, 22138587";10,247;Q1;173;194;575;4605;7030;222;12,48;23,74;41,98;0;122;United Kingdom;Western Europe;"Elsevier Ltd";"2013-2023";"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
28;21100780831;"Nature Reviews Disease Primers";journal;"2056676X";10,215;Q1;186;69;274;7205;7476;189;24,62;104,42;39,71;1;25;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2023";"Medicine (miscellaneous) (Q1)";"Medicine"
29;25297;"Journal of Hepatology";journal;"16000641, 01688278";9,857;Q1;301;426;1327;15192;18226;685;12,66;35,66;36,89;5;187;Netherlands;Western Europe;"Elsevier B.V.";"1985-2023";"Hepatology (Q1)";"Medicine"
30;17700156208;"Nature Reviews Gastroenterology and Hepatology";journal;"17595045, 17595053";9,741;Q1;193;155;459;9634;9010;283;17,88;62,15;33,84;0;44;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2023";"Gastroenterology (Q1); Hepatology (Q1)";"Medicine"
31;20313;"Nature Reviews Microbiology";journal;"17401534, 17401526";9,639;Q1;372;173;503;9764;12098;361;26,41;56,44;34,39;8;38;United Kingdom;Western Europe;"Nature Publishing Group";"2003-2023";"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1)";"Immunology and Microbiology; Medicine"
32;21100804406;"Lancet Public Health, The";journal;"24682667";9,434;Q1;90;165;504;4230;7588;218;12,32;25,64;42,59;0;105;United Kingdom;Western Europe;"Elsevier Ltd";"2016-2023";"Public Health, Environmental and Occupational Health (Q1)";"Medicine"
33;21100786228;"Lancet Gastroenterology and Hepatology, The";journal;"24681253";8,957;Q1;105;235;671;4964;7447;255;9,92;21,12;46,48;0;95;United Kingdom;Western Europe;"Elsevier Ltd";"2016-2023";"Gastroenterology (Q1); Hepatology (Q1)";"Medicine"
34;22401;"Journal of the American College of Cardiology";journal;"15583597, 07351097";8,762;Q1;493;631;2380;15404;21232;1052;8,22;24,41;31,41;9;253;United States;Northern America;"Elsevier Inc.";"1983-2023";"Cardiology and Cardiovascular Medicine (Q1)";"Medicine"
35;21100860945;"Science immunology";journal;"24709468";8,761;Q1;106;152;517;9106;7832;497;14,04;59,91;41,87;1;67;United States;Northern America;"American Association for the Advancement of Science";"2016-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
36;16860;"Lancet Neurology, The";journal;"14744465, 14744422";8,589;Q1;355;276;802;5512;9503;330;10,24;19,97;42,69;0;49;United Kingdom;Western Europe;"Elsevier Ltd";"2002-2023";"Neurology (clinical) (Q1)";"Medicine"
37;22581;"Circulation";journal;"00097322, 15244539";8,415;Q1;674;539;2028;16395;27681;1313;13,29;30,42;34,11;0;226;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1950-2023";"Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)";"Medicine"
38;17700156509;"Nature Reviews Cardiology";journal;"17595010, 17595002";8,408;Q1;183;153;497;10482;7493;251;14,28;68,51;26,47;2;49;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2023";"Cardiology and Cardiovascular Medicine (Q1)";"Medicine"
39;12429;"Molecular Cancer";journal;"14764598";8,222;Q1;196;190;525;23895;14728;449;23,31;125,76;38,33;0;182;United Kingdom;Western Europe;"BioMed Central Ltd";"2002-2023";"Cancer Research (Q1); Molecular Medicine (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
40;28366;"Gut";journal;"14683288, 00175749";8,052;Q1;348;434;1034;14742;15775;653;15,00;33,97;38,99;10;222;United Kingdom;Western Europe;"BMJ Publishing Group";"1960-2023";"Gastroenterology (Q1)";"Medicine"
41;21100773752;"Nature Microbiology";journal;"20585276";7,982;Q1;138;257;627;13099;9427;468;12,68;50,97;39,74;2;86;United Kingdom;Western Europe;"Nature Publishing Group";"2016-2023";"Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Genetics (Q1); Immunology (Q1); Microbiology (Q1); Microbiology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
42;21100220495;"Lancet Respiratory Medicine,The";journal;"22132619, 22132600";7,965;Q1;182;286;959;5528;11689;439;11,34;19,33;42,63;0;138;United Kingdom;Western Europe;"Elsevier Ltd";"2013-2023";"Pulmonary and Respiratory Medicine (Q1)";"Medicine"
43;21100831443;"Nature Biomedical Engineering";journal;"2157846X";7,951;Q1;116;201;441;11275;8533;347;20,56;56,09;31,96;1;53;United States;Northern America;"Nature Publishing Group";"2017-2023";"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Computer Science Applications (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Medicine"
44;26038;"Endocrine Reviews";journal;"19457189, 0163769X";7,922;Q1;307;40;95;7025;2339;95;22,37;175,63;43,13;0;25;United States;Northern America;"The Endocrine Society";"1980-2023";"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
45;6400153137;"Journal of Thoracic Oncology";journal;"15561380, 15560864";7,879;Q1;178;266;803;6857;7329;395;9,53;25,78;39,88;4;134;United States;Northern America;"Elsevier Inc.";"2006-2023";"Medicine (miscellaneous) (Q1); Oncology (Q1); Pulmonary and Respiratory Medicine (Q1)";"Medicine"
46;21100420583;"JAMA Oncology";journal;"23742445, 23742437";7,843;Q1;173;349;1225;6132;9916;523;7,62;17,57;39,66;8;257;United States;Northern America;"American Medical Association";"2015-2023";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
47;21100356804;"Lancet Psychiatry,The";journal;"22150374, 22150366";7,827;Q1;145;219;882;4322;9448;316;7,95;19,74;49,25;0;53;United Kingdom;Western Europe;"Elsevier Ltd";"2014-2023";"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience"
48;21100212318;"Cancer Discovery";journal;"21598274, 21598290";7,533;Q1;229;341;1297;8166;13169;986;10,13;23,95;41,52;0;255;United States;Northern America;"American Association for Cancer Research Inc.";"2011-2023";"Oncology (Q1)";"Medicine"
49;17900156736;"Journal of Hematology and Oncology";journal;"17568722";7,522;Q1;144;115;531;11441;12065;413;20,83;99,49;40,48;0;98;United Kingdom;Western Europe;"BioMed Central Ltd";"2008-2023";"Cancer Research (Q1); Hematology (Q1); Molecular Biology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
50;28330;"Gastroenterology";journal;"15280012, 00165085";7,362;Q1;466;558;2271;11604;20955;1130;7,65;20,80;37,67;1;188;United States;Northern America;"W.B. Saunders";"1945-2023";"Gastroenterology (Q1); Hepatology (Q1)";"Medicine"
51;4600151524;"Annual Review of Clinical Psychology";journal;"15485951, 15485943";7,348;Q1;145;19;63;2469;1409;63;18,96;129,95;54,17;0;9;United States;Northern America;"Annual Reviews Inc.";"2005-2023";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
52;21100922606;"Lancet Digital Health, The";journal;"25897500";7,277;Q1;66;133;394;3587;5304;193;13,67;26,97;43,73;0;55;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2023";"Decision Sciences (miscellaneous) (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)";"Decision Sciences; Health Professions; Medicine"
53;17700156440;"Nature Reviews Endocrinology";journal;"17595037, 17595029";7,274;Q1;203;148;480;7209;5908;227;10,85;48,71;43,22;0;56;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2023";"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
54;21100932733;"Nature Metabolism";journal;"25225812";7,192;Q1;75;226;515;10360;6320;395;10,84;45,84;40,83;0;71;Germany;Western Europe;"Springer Berlin";"2019-2023";"Cell Biology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1); Physiology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
55;19897;"European Urology";journal;"18737560, 03022838";6,928;Q1;261;338;1278;5482;8525;390;7,35;16,22;29,16;10;226;Netherlands;Western Europe;"Elsevier B.V.";"1975-2023";"Urology (Q1)";"Medicine"
56;21272;"Journal of Experimental Medicine";journal;"00221007, 15409538";6,838;Q1;490;222;815;10576;9703;779;10,15;47,64;44,04;0;68;United States;Northern America;"Rockefeller University Press";"1909-1910, 1929, 1935, 1938, 1945-2023";"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)";"Immunology and Microbiology; Medicine"
57;19651;"Clinical Microbiology Reviews";journal;"08938512, 10986618";6,762;Q1;331;24;109;5483;2846;108;17,21;228,46;30,00;0;17;United States;Northern America;"American Society for Microbiology";"1988-2023";"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Immunology and Microbiology; Medicine"
58;21100788876;"Chem";journal;"24519308, 24519294";6,556;Q1;144;281;798;14147;12069;634;12,19;50,35;29,08;0;159;United States;Northern America;"Elsevier Inc.";"2016-2023";"Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Environmental Science; Materials Science; Medicine"
59;19700174677;"Science Translational Medicine";journal;"19466234, 19466242";6,510;Q1;284;292;1149;18171;15426;1102;14,71;62,23;42,40;4;150;United States;Northern America;"American Association for the Advancement of Science";"2009-2023";"Medicine (miscellaneous) (Q1)";"Medicine"
60;12499;"Neuro-Oncology";journal;"15228517, 15235866";6,348;Q1;163;229;779;6987;7925;489;11,64;30,51;45,08;3;74;United Kingdom;Western Europe;"Oxford University Press";"1999-2023";"Cancer Research (Q1); Neurology (clinical) (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
61;22471;"Lancet Infectious Diseases, The";journal;"14744457, 14733099";6,329;Q1;291;481;1543;7910;14929;644;9,72;16,44;46,56;0;255;United Kingdom;Western Europe;"Lancet Publishing Group";"2001-2023";"Infectious Diseases (Q1)";"Medicine"
62;21100228547;"JAMA Psychiatry";journal;"21686238, 2168622X";6,241;Q1;408;231;667;5888;7292;392;11,37;25,49;44,32;24;70;United States;Northern America;"American Medical Association";"2013-2023";"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine"
63;17700156408;"Nature Reviews Neurology";journal;"17594766, 17594758";6,237;Q1;207;150;451;8192;5342;272;10,61;54,61;39,74;0;11;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2023";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
64;14719;"Intensive Care Medicine";journal;"14321238, 03424642";6,232;Q1;237;325;1055;5385;8954;407;7,09;16,57;41,40;1;50;Germany;Western Europe;"Springer Verlag";"1977-2023";"Critical Care and Intensive Care Medicine (Q1)";"Medicine"
65;21100826360;"JAMA Cardiology";journal;"23806583, 23806591";6,231;Q1;113;236;887;4180;6503;437;6,46;17,71;28,62;4;80;United States;Northern America;"American Medical Association";"2016-2023";"Cardiology and Cardiovascular Medicine (Q1)";"Medicine"
66;21100265444;"Lancet Global Health,The";journal;"2214109X";6,221;Q1;136;396;1078;7221;7986;391;5,98;18,23;42,74;0;254;United Kingdom;Western Europe;"Elsevier B.V.";"2013-2023";"Medicine (miscellaneous) (Q1)";"Medicine"
67;21100228519;"JAMA Neurology";journal;"21686157, 21686149";6,194;Q1;272;230;721;5235;7026;402;8,86;22,76;39,93;6;60;United States;Northern America;"American Medical Association";"2013-2023";"Neurology (clinical) (Q1)";"Medicine"
68;19136;"Annals of the Rheumatic Diseases";journal;"00034967, 14682060";6,138;Q1;288;413;1445;10750;11076;597;7,71;26,03;42,89;12;104;United Kingdom;Western Europe;"BMJ Publishing Group";"1945-1948, 1950-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
69;22657;"Accounts of Chemical Research";journal;"00014842, 15204898";5,948;Q1;453;338;949;20102;17780;926;16,68;59,47;29,07;0;106;United States;Northern America;"American Chemical Society";"1968-2023";"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Chemistry; Medicine"
70;17700156202;"Nature Reviews Nephrology";journal;"1759507X, 17595061";5,939;Q1;161;128;420;8851;5515;235;10,53;69,15;41,64;2;54;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2023";"Nephrology (Q1)";"Medicine"
71;85291;"JAMA - Journal of the American Medical Association";journal;"15383598, 00987484";5,928;Q1;768;1621;4755;13837;44961;1818;7,80;8,54;44,11;67;513;United States;Northern America;"American Medical Association";"1883-2023";"Medicine (miscellaneous) (Q1)";"Medicine"
72;15090;"Progress in Retinal and Eye Research";journal;"13509462, 18731635";5,923;Q1;189;52;159;14915;3186;158;19,93;286,83;36,45;2;5;United Kingdom;Western Europe;"Elsevier Ltd";"1990-1991, 1993-2023";"Ophthalmology (Q1); Sensory Systems (Q1)";"Medicine; Neuroscience"
73;23188;"European Journal of Heart Failure";journal;"13889842, 18790844";5,919;Q1;171;362;1036;10963;7251;538;6,57;30,28;30,45;2;71;United States;Northern America;"Wiley-Blackwell";"1999-2023";"Cardiology and Cardiovascular Medicine (Q1)";"Medicine"
74;21100241219;"JACC: Heart Failure";journal;"22131787, 22131779";5,724;Q1;106;290;519;5573;2632;223;4,26;19,22;34,07;1;61;United States;Northern America;"Elsevier Inc.";"2013-2023";"Cardiology and Cardiovascular Medicine (Q1)";"Medicine"
75;21101083188;"Nature Aging";journal;"26628465";5,705;Q1;30;199;282;7723;2481;174;8,80;38,81;43,10;5;23;Germany;Western Europe;"Springer";"2021-2023";"Aging (Q1); Geriatrics and Gerontology (Q1); Neuroscience (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
76;25491;"Diabetes Care";journal;"19355548, 01495992";5,694;Q1;418;403;1520;13962;16386;1188;11,21;34,65;45,33;6;371;United States;Northern America;"American Diabetes Association Inc.";"1978-2023";"Advanced and Specialized Nursing (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)";"Medicine; Nursing"
77;12854;"Clinical Psychology Review";journal;"18737811, 02727358";5,653;Q1;255;65;230;6664;3781;227;16,29;102,52;59,93;0;16;United States;Northern America;"Elsevier Inc.";"1981-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
78;17600155130;"NCHS data brief";journal;"19414927, 19414935";5,622;Q1;95;16;99;0;1553;99;9,35;0,00;76,67;0;6;United States;Northern America;"U.S. National Center for Health Statistics";"2007-2023";"Medicine (miscellaneous) (Q1)";"Medicine"
79;21100228540;"JAMA Pediatrics";journal;"21686211, 21686203";5,494;Q1;221;326;1151;6146;7253;369;6,52;18,85;55,43;24;114;United States;Northern America;"American Medical Association";"2013-2023";"Pediatrics, Perinatology and Child Health (Q1)";"Medicine"
80;17435;"EMBO Journal";journal;"02614189, 14602075";5,489;Q1;429;332;875;24492;8011;778;8,50;73,77;42,02;0;78;Germany;Western Europe;"Springer Nature";"1982-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience"
81;27498;"Annual Review of Medicine";journal;"1545326X, 00664219";5,480;Q1;176;35;94;2893;1473;94;15,93;82,66;43,01;1;24;United States;Northern America;"Annual Reviews Inc.";"1950-1958, 1960-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
82;19584;"Annual Review of Public Health";journal;"01637525, 15452093";5,440;Q1;178;24;57;2571;1292;29;16,62;107,13;65,05;5;17;United States;Northern America;"Annual Reviews Inc.";"1980-2023";"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine"
83;21101041613;"Lancet Microbe, The";journal;"26665247";5,392;Q1;42;194;397;4066;3371;164;8,42;20,96;49,22;0;106;United Kingdom;Western Europe;"Elsevier Ltd";"2020-2023";"Infectious Diseases (Q1); Microbiology (Q1); Microbiology (medical) (Q1); Virology (Q1)";"Immunology and Microbiology; Medicine"
84;18000;"American Journal of Respiratory and Critical Care Medicine";journal;"1073449X, 15354970";5,336;Q1;423;625;2141;9239;11681;784;5,37;14,78;38,01;0;235;United States;Northern America;"American Thoracic Society";"1991, 1994-2023";"Critical Care and Intensive Care Medicine (Q1); Pulmonary and Respiratory Medicine (Q1)";"Medicine"
85;4700152228;"Molecular Systems Biology";journal;"17444292";5,305;Q1;172;56;239;4036;2142;220;7,93;72,07;40,08;0;14;United Kingdom;Western Europe;"Springer Nature";"2005-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Immunology and Microbiology; Mathematics; Medicine"
86;25454;"Blood";journal;"15280020, 00064971";5,272;Q1;525;819;2623;25762;20592;1657;7,41;31,46;44,18;10;303;United States;Northern America;"Elsevier B.V.";"1946-2023";"Biochemistry (Q1); Cell Biology (Q1); Hematology (Q1); Immunology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
87;5700191214;"Molecular Neurodegeneration";journal;"17501326";5,205;Q1;115;91;221;10183;3064;211;12,38;111,90;41,03;0;8;United Kingdom;Western Europe;"BioMed Central Ltd";"2006-2023";"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
88;29709;"Reports on Progress in Physics";journal;"13616633, 00344885";5,195;Q1;247;42;119;12474;2233;119;19,76;297,00;20,09;0;2;United Kingdom;Western Europe;"IOP Publishing Ltd.";"1934-1942, 1944, 1947, 1949-2023";"Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Medicine; Physics and Astronomy"
89;19181;"Psychotherapy and Psychosomatics";journal;"00333190, 14230348";5,104;Q1;117;46;177;1992;1693;105;10,27;43,30;45,10;1;2;Switzerland;Western Europe;"S. Karger AG";"1953-2023";"Applied Psychology (Q1); Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
